TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
KNRI11;132,43;6,09;0,84;4.252.413,98;3,65;-0,49;-3,71;3.811.917.192,28;229.978,00;Ativa;
MORC11;99,64;7,94;0,98;365.023,05;9,51;;;79.208.257,14;327,00;Ativa;
BMLC11;93,00;7,78;0,85;26.019,08;2,96;15,30;6,08;109.109.578,30;1.500,00;Passiva;
VJFD11;0,00;0,00;;;0,77;;;649.310.196,78;97,00;Ativa;
PEMA11;64,75;17,61;0,75;8.856,38;2,71;;;47.402.332,71;133,00;Ativa;
SHOP11;100,00;0,00;1,76;;7,08;;;84.219.389,81;12,00;Ativa;
BTAL11;95,00;7,30;0,92;892.290,13;12,54;;;619.008.357,28;14.718,00;Ativa;
RBLG11;88,75;7,30;0,85;5.879,71;1,54;;;66.825.500,17;104,00;Ativa;
QAMI11;99,00;9,90;1,09;81.871,83;2,30;;;73.023.182,14;945,00;Ativa;
RECX11;92,00;8,96;1,03;6.767,69;1,85;;;19.427.520,87;475,00;Ativa;
VIFI11;78,04;8,79;0,84;516.425,33;4,58;;;261.421.261,58;6.486,00;Ativa;
TJKB11;0,00;0,00;;;0,07;;;201.151.604,57;52,00;Ativa;
CARE11;2,07;2,36;0,26;93.732,65;0,34;;-37,55;284.489.229,68;9.427,00;Ativa;
VPSI11;0,00;0,00;;;0,80;-7,23;;149.608.873,58;56,00;Passiva;
MCHY11;119,99;5,43;1,17;21.593,34;1,09;;;363.602.380,70;76,00;--;
MVFI11;0,00;0,00;;;0,56;;;132.110.589,84;1,00;Ativa;
MORE11;76,10;9,97;0,83;532.960,60;1,95;;;211.406.854,86;11.528,00;Ativa;
SBCL11;0,00;0,00;;;135,13;;;33.368.196,71;2,00;Ativa;
LAVF11;0,00;0,00;;;0,01;;;62.781.707,61;8,00;Ativa;
MINT11;112,00;0,00;0,92;2.173,38;12,77;;;63.236.262,26;71,00;Ativa;
VVPR11;95,93;7,98;0,93;61.785,44;1,41;;;238.464.430,38;1.392,00;Ativa;
PQAG11;56,50;7,19;0,99;27.297,41;1,10;;;795.749.050,15;421,00;Ativa;
DLMT11;0,00;0,00;;;1,02;;;8.837.269,13;9,00;Ativa;
URPR11;120,30;17,60;1,26;3.796.621,73;60,69;;;348.675.383,32;34.459,00;Ativa;
TSER11;100,00;6,89;1,02;682.326,30;2,64;;;118.471.304,15;22,00;Ativa;
RSPD11;1.200,00;2,03;1,08;19.313,00;1,77;;;165.987.764,34;106,00;Ativa;
XPCI11;97,75;10,58;1,03;2.347.300,70;1,24;;;655.327.883,83;50.783,00;Ativa;
HGLG11;170,14;7,52;1,15;5.279.796,73;10,41;14,16;5,72;3.156.088.176,65;300.134,00;Ativa;
